,rt,mktfp,mkt,o,d,fp,ur,r,OLDur,OLDr,CALCur,CALCr,check,derivedcheck
0,551,BOSPTBYOFC,BOSPTB,BOS,PTB,YOFC,208.08,214.0,204.0,210.0,208.08,208.0,Error,Nonderived
1,551,BOSPTBYOFC,BOSPTB,BOS,PTB,YOFC,208.08,214.0,204.0,214.0,208.08,208.0,Error,Nonderived
2,551,BOSPTBYOFC,BOSPTB,BOS,PTB,YOFC,208.08,214.0,204.0,210.0,208.08,208.0,Error,Nonderived
3,551,BOSRMTYOFC,BOSRMT,BOS,RMT,YOFC,203.55,210.0,199.56,210.0,203.5512,204.0,Error,Nonderived
4,551,BOSRMTYOFC,BOSRMT,BOS,RMT,YOFC,203.55,210.0,199.56,214.0,203.5512,204.0,Error,Nonderived
5,551,BOSRMTYOFC,BOSRMT,BOS,RMT,YOFC,203.55,210.0,199.56,210.0,203.5512,204.0,Error,Nonderived
6,551,BOSWLNYOFC,BOSWLN,BOS,WLN,YOFC,203.55,210.0,199.56,210.0,203.5512,204.0,Error,Nonderived
7,551,BOSWLNYOFC,BOSWLN,BOS,WLN,YOFC,203.55,210.0,199.56,214.0,203.5512,204.0,Error,Nonderived
8,551,BOSWLNYOFC,BOSWLN,BOS,WLN,YOFC,203.55,210.0,199.56,210.0,203.5512,204.0,Error,Nonderived
9,551,BOSSSMYOFC,BOSSSM,BOS,SSM,YOFC,203.55,210.0,199.56,210.0,203.5512,204.0,Error,Nonderived
10,551,BOSSSMYOFC,BOSSSM,BOS,SSM,YOFC,203.55,210.0,199.56,214.0,203.5512,204.0,Error,Nonderived
11,551,BOSSSMYOFC,BOSSSM,BOS,SSM,YOFC,203.55,210.0,199.56,210.0,203.5512,204.0,Error,Nonderived
12,551,BOSRGHYOFC,BOSRGH,BOS,RGH,YOFC,239.94,240.0,235.24,235.0,239.94480000000001,240.0,Correct,Nonderived
13,551,BOSCYNYOFC,BOSCYN,BOS,CYN,YOFC,246.78,247.0,241.94,242.0,246.7788,247.0,Correct,Nonderived
14,551,BOSSOPYOFC,BOSSOP,BOS,SOP,YOFC,246.78,247.0,241.94,242.0,246.7788,247.0,Correct,Nonderived
15,551,BOSHAMYOFC,BOSHAM,BOS,HAM,YOFC,246.78,247.0,241.94,242.0,246.7788,247.0,Correct,Nonderived
16,551,BOSCAMYOFC,BOSCAM,BOS,CAM,YOFC,269.51,270.0,264.23,264.0,269.51460000000003,270.0,Correct,Nonderived
17,551,BOSCLBYOFC,BOSCLB,BOS,CLB,YOFC,275.21,275.0,269.81,270.0,275.2062,275.0,Correct,Nonderived
18,551,BOSDNKYOFC,BOSDNK,BOS,DNK,YOFC,294.54,295.0,288.76,289.0,294.5352,295.0,Correct,Nonderived
19,551,BOSFAYYOFC,BOSFAY,BOS,FAY,YOFC,237.67,238.0,233.01,233.0,237.6702,238.0,Correct,Nonderived
20,551,BOSDILYOFC,BOSDIL,BOS,DIL,YOFC,257.0,257.0,251.96,252.0,256.99920000000003,257.0,Correct,Nonderived
21,551,BOSFLOYOFC,BOSFLO,BOS,FLO,YOFC,263.83,264.0,258.66,259.0,263.83320000000003,264.0,Correct,Nonderived
22,551,BOSKTRYOFC,BOSKTR,BOS,KTR,YOFC,275.21,275.0,269.81,270.0,275.2062,275.0,Correct,Nonderived
23,551,BOSCHSYOFC,BOSCHS,BOS,CHS,YOFC,294.54,295.0,288.76,289.0,294.5352,295.0,Correct,Nonderived
24,551,BOSYEMYOFC,BOSYEM,BOS,YEM,YOFC,294.54,295.0,288.76,289.0,294.5352,295.0,Correct,Nonderived
25,551,BOSSAVYOFC,BOSSAV,BOS,SAV,YOFC,296.81,297.0,290.99,291.0,296.8098,297.0,Correct,Nonderived
26,551,BOSJSPYOFC,BOSJSP,BOS,JSP,YOFC,296.81,297.0,290.99,291.0,296.8098,297.0,Correct,Nonderived
27,551,BOSJAXYOFC,BOSJAX,BOS,JAX,YOFC,315.01,315.0,308.83,309.0,315.0066,315.0,Correct,Nonderived
28,551,BOSPAKYOFC,BOSPAK,BOS,PAK,YOFC,317.28,317.0,311.06,311.0,317.2812,317.0,Correct,Nonderived
29,551,BOSDLDYOFC,BOSDLD,BOS,DLD,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
30,551,BOSWPKYOFC,BOSWPK,BOS,WPK,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
31,551,BOSORLYOFC,BOSORL,BOS,ORL,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
32,551,BOSKISYOFC,BOSKIS,BOS,KIS,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
33,551,BOSLAKYOFC,BOSLAK,BOS,LAK,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
34,551,BOSTPAYOFC,BOSTPA,BOS,TPA,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
35,551,BOSWTHYOFC,BOSWTH,BOS,WTH,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
36,551,BOSSBGYOFC,BOSSBG,BOS,SBG,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
37,551,BOSOKEYOFC,BOSOKE,BOS,OKE,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
38,551,BOSWPBYOFC,BOSWPB,BOS,WPB,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
39,551,BOSDLBYOFC,BOSDLB,BOS,DLB,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
40,551,BOSDFBYOFC,BOSDFB,BOS,DFB,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
41,551,BOSFTLYOFC,BOSFTL,BOS,FTL,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
42,551,BOSHOLYOFC,BOSHOL,BOS,HOL,YOFC,319.56,320.0,313.29,313.0,319.55580000000003,320.0,Correct,Nonderived
43,551,BOSMIAYOFC,BOSMIA,BOS,MIA,YOFC,319.56,320.0,313.29,314.0,319.55580000000003,320.0,Correct,Nonderived
44,551,BOSDNCYOFC,BOSDNC,BOS,DNC,YOFC,243.92,247.0,243.92,244.0,248.7984,249.0,Error,Nonderived
45,551,BNCBOSYOFC,BNCBOS,BOS,BNC,YOFC,243.92,247.0,243.92,244.0,248.7984,249.0,Error,Nonderived
46,551,BBYPTBYOFC,BBYPTB,BBY,PTB,YOFC,208.08,214.0,204.0,210.0,208.08,208.0,Error,Nonderived
47,551,BBYPTBYOFC,BBYPTB,BBY,PTB,YOFC,208.08,214.0,204.0,214.0,208.08,208.0,Error,Nonderived
48,551,BBYPTBYOFC,BBYPTB,BBY,PTB,YOFC,208.08,214.0,204.0,210.0,208.08,208.0,Error,Nonderived
49,551,BBYRMTYOFC,BBYRMT,BBY,RMT,YOFC,203.55,214.0,199.56,210.0,203.5512,204.0,Error,Nonderived
50,551,BBYRMTYOFC,BBYRMT,BBY,RMT,YOFC,203.55,214.0,199.56,214.0,203.5512,204.0,Error,Nonderived
51,551,BBYRMTYOFC,BBYRMT,BBY,RMT,YOFC,203.55,214.0,199.56,210.0,203.5512,204.0,Error,Nonderived
52,551,BBYWLNYOFC,BBYWLN,BBY,WLN,YOFC,203.55,214.0,199.56,210.0,203.5512,204.0,Error,Nonderived
53,551,BBYWLNYOFC,BBYWLN,BBY,WLN,YOFC,203.55,214.0,199.56,214.0,203.5512,204.0,Error,Nonderived
54,551,BBYWLNYOFC,BBYWLN,BBY,WLN,YOFC,203.55,214.0,199.56,210.0,203.5512,204.0,Error,Nonderived
55,551,BBYSSMYOFC,BBYSSM,BBY,SSM,YOFC,203.55,214.0,199.56,210.0,203.5512,204.0,Error,Nonderived
56,551,BBYSSMYOFC,BBYSSM,BBY,SSM,YOFC,203.55,214.0,199.56,214.0,203.5512,204.0,Error,Nonderived
57,551,BBYSSMYOFC,BBYSSM,BBY,SSM,YOFC,203.55,214.0,199.56,210.0,203.5512,204.0,Error,Nonderived
58,551,BBYRGHYOFC,BBYRGH,BBY,RGH,YOFC,239.94,240.0,235.24,235.0,239.94480000000001,240.0,Correct,Nonderived
59,551,BBYCYNYOFC,BBYCYN,BBY,CYN,YOFC,246.78,247.0,241.94,242.0,246.7788,247.0,Correct,Nonderived
60,551,BBYSOPYOFC,BBYSOP,BBY,SOP,YOFC,246.78,247.0,241.94,242.0,246.7788,247.0,Correct,Nonderived
61,551,BBYHAMYOFC,BBYHAM,BBY,HAM,YOFC,246.78,247.0,241.94,242.0,246.7788,247.0,Correct,Nonderived
62,551,BBYCAMYOFC,BBYCAM,BBY,CAM,YOFC,269.51,270.0,264.23,264.0,269.51460000000003,270.0,Correct,Nonderived
63,551,BBYCLBYOFC,BBYCLB,BBY,CLB,YOFC,275.21,275.0,269.81,270.0,275.2062,275.0,Correct,Nonderived
64,551,BBYDNKYOFC,BBYDNK,BBY,DNK,YOFC,294.54,295.0,288.76,289.0,294.5352,295.0,Correct,Nonderived
65,551,BBYFAYYOFC,BBYFAY,BBY,FAY,YOFC,237.67,238.0,233.01,233.0,237.6702,238.0,Correct,Nonderived
66,551,BBYDILYOFC,BBYDIL,BBY,DIL,YOFC,257.0,257.0,251.96,252.0,256.99920000000003,257.0,Correct,Nonderived
